ANZSCO Code,occupation,employed,parttime,female,earnings,age,growth,,
3512,Butchers and Smallgoods Makers,14300,26,10,1550,40,100,,
3513,Chefs,133400,22,30,1423,34,6100,,
3514,Cooks,30700,55,52,1432,36,-3500,,
3611,Animal Attendants and Trainers,27200,48,74,1276,36,1300,,
3612,Shearers,2700,20,7,N/A,31,100,,
3613,Veterinary Nurses,17500,42,96,1667,28,1000,,
3621,Florists,5600,67,84,N/A,46,-300,,
3622,Gardeners,87000,32,11,N/A,41,900,,
3623,Greenkeepers,13600,31,5,1468,39,-100,,
3624,Nurserypersons,4400,63,45,N/A,59,300,,
3911,Hairdressers,65400,49,76,1209,36,500,,
3921,Print Finishers and Screen Printers,3800,21,23,N/A,50,300,,
3922,Graphic Pre-press Trades Workers,1300,N/A,N/A,N/A,45,-300,,
3923,Printers,8800,19,4,1408,49,-900,,
3931,Canvas and Leather Goods Makers,1100,N/A,N/A,N/A,53,-200,,
3932,Clothing Trades Workers,8400,52,76,N/A,54,200,,
3933,Upholsterers,1900,N/A,N/A,1527,37,-300,,
3941,Cabinetmakers,30500,7,5,1400,37,0,,
3942,Wood Machinists and Other Wood Trades Workers,4600,45,24,1405,53,700,,
3991,Boat Builders and Shipwrights,3100,18,8,2197,45,-500,,
3992,Chemical Gas Petroleum and Power Plant Operators,7100,3,4,3532,48,-1000,,
3993,Gallery Library and Museum Technicians,7700,46,77,1498,51,200,,
3994,Jewellers,4100,40,39,N/A,55,-100,,
3995,Performing Arts Technicians,15500,31,21,1844,34,-500,,
3996,Signwriters,6300,24,8,N/A,43,200,,
3999,Other Miscellaneous Technicians and Trades Workers,23900,36,47,2036,40,300,,
4111,Ambulance Officers and Paramedics,27100,10,48,2852,36,800,,
4112,Dental Hygienists Technicians and Therapists,8000,50,68,2210,44,-200,,
4113,Diversional Therapists,5300,48,74,1434,48,-200,,
4114,Enrolled and Mothercraft Nurses,21800,50,87,1777,38,-200,,
4115,Indigenous Health Workers,1200,N/A,N/A,1460,55,0,,
4116,Massage Therapists,19500,73,79,N/A,49,100,,
4117,Welfare Support Workers,94500,30,71,1844,39,3300,,
4211,Child Carers,184600,53,93,1341,33,10700,,
4221,Education Aides,137900,69,87,1342,42,6800,,
4231,Aged and Disabled Carers,376300,60,73,1761,41,27100,,
4232,Dental Assistants,27300,58,92,1211,30,-1600,,
4233,Nursing Support and Personal Care Workers,110400,52,74,1612,40,3600,,
4234,Special Care Workers,3500,50,79,1708,30,-300,,
4311,Bar Attendants and Baristas,118800,71,58,1500,23,1600,,
