ANZSCO Code,Occupation,Employed,Part-time share (%),Female share (%),Median weekly earnings ($),Median age,Annual employment growth,,
7116,Sewing Machinists,"6,500",46,84,"1,067",53,-200,,
7117,Textile and Footwear Production Machine Operators,"1,600",N/A,N/A,"1,225",46,-100,,
7119,Other Machine Operators,"11,800",26,44,"1,554",44,-100,,
7121,"Crane, Hoist and Lift Operators","20,200",5,8,"3,411",46,"2,400",,
7122,"Drillers, Miners and Shot Firers","72,000",3,14,"2,908",40,"3,000",,
7123,Engineering Production Workers,"20,100",9,9,"1,656",41,-400,,
7129,Other Stationary Plant Operators,"24,100",7,21,"2,019",40,-300,,
7211,"Agricultural, Forestry and Horticultural Plant Operators","15,700",10,8,"1,403",37,-100,,
7212,Earthmoving Plant Operators,"51,400",6,5,"1,900",44,300,,
7213,Forklift Drivers,"71,300",13,5,"1,340",41,"1,200",,
7219,Other Mobile Plant Operators,"13,100",16,8,"1,696",37,100,,
7311,Automobile Drivers,"50,800",40,9,N/A,45,"-1,400",,
7312,Bus and Coach Drivers,"40,800",40,16,"1,795",54,-200,,
7313,Train and Tram Drivers,"18,700",6,16,"3,001",47,"1,500",,
7321,Delivery Drivers,"85,500",49,15,"1,308",38,600,,
7331,Truck Drivers,"195,800",13,6,"1,960",45,200,,
7411,Storepersons,"166,600",32,28,"1,328",35,"2,400",,
8111,Car Detailers,"17,200",34,13,"1,240",33,-500,,
8112,Commercial Cleaners,"150,100",62,60,"1,254",42,"-1,200",,
8113,Domestic Cleaners,"36,000",83,81,"1,302",42,200,,
8114,Housekeepers,"36,300",69,80,"1,230",40,"2,200",,
8115,Laundry Workers,"16,700",41,57,"1,154",45,"1,700",,
8116,Other Cleaners,"14,300",46,18,"1,342",42,300,,
8211,Building and Plumbing Labourers,"70,000",18,5,"1,827",32,-100,,
8212,Concreters,"44,600",13,3,"2,209",35,"3,200",,
8213,Fencers,"13,200",25,5,"1,249",46,100,,
8214,Insulation and Home Improvement Installers,"25,900",19,5,"1,606",38,-400,,
8215,Paving and Surfacing Labourers,"7,000",14,4,"1,383",44,0,,
8216,Railway Track Workers,"5,600",8,7,N/A,38,-100,,
8217,Structural Steel Construction Workers,"26,100",8,3,"2,910",34,"1,000",,
8219,Other Construction and Mining Labourers,"8,900",11,9,N/A,35,500,,
8311,Food and Drink Factory Workers,"27,900",18,29,"1,647",44,-600,,
8312,"Meat Boners and Slicers, and Slaughterers","7,500",5,23,"1,627",38,200,,
8313,"Meat, Poultry and Seafood Process Workers","14,600",14,31,"1,244",39,0,,
8321,Packers,"54,400",41,55,"1,366",36,"-3,300",,
8322,Product Assemblers,"24,500",10,26,"1,196",42,-100,,
8391,Metal Engineering Process Workers,"7,500",9,16,"1,212",46,-900,,
